restaurant_id,restaurant_name,cuisine_type,city,rating,avg_delivery_time_mins,cost_for_two,is_active
R001,Spice Villa,american,Chennai,3.8,45,600,Y
R002,Curry Point,italian,Jaipur,4.2,30,600,Y
R003,Pizza Planet,American,Hyderabad,2.5,35,not_available,N
R004,Noodle House,Mexican,Chennai,4.9,45,400,0
R005,Burger Barn,italian,Bengaluru,2.8,45,400,0
R006,Biryani Junction,south indian,Delhi,2.5,25,700,yes
R007,Tandoori Nights,italian,Bengaluru,3.7,25,700,yes
R008,Sushi Central,south indian,Jaipur,3.0,35,600,Y
R009, Taco Fiesta ,American,Jaipur,2.9,45,300,No
R010, Green Bowl ,Continental,Hyderabad,3.9,na,300,Y
R011,Cafe Mocha,Continental,Mumbai,2.9,40,800,yes
R012,The Grill House,italian,Delhi,2.9,45,700,N
R013, Momo Corner ,italian,Mumbai,4.5,na,not_available,N
R014,Sweet Treats Bakery,Chinese,Kolkata,3.1,30,500,1
R015,Punjabi Dhaba,chinese,Kochi,3.3,40,300,Y
R004,Noodle House,MEXICAN,Chennai,4.9,45,400,0
